plz_name;Spalte1;lan_name;geo_point_2d
Bielefeld;33605;Nordrhein-Westfalen;51.9978183894,8.57740013386
Bielefeld;33609;Nordrhein-Westfalen;52.0603677665,8.56143109815
Cuxhaven;27478;Niedersachsen;53.8050490097,8.72978939249
Delmenhorst;27753;Niedersachsen;53.0543922976,8.61146400571
Kämpfelbach;75236;Baden-Württemberg;48.9339466515,8.62769317136
Neubulach;75387;Baden-Württemberg;48.6610339687,8.67429545113
Oerlinghausen;33813;Nordrhein-Westfalen;51.9479462677,8.67573572755
Frankfurt am Main;60487;Hessen;50.1273837762,8.64019340809
Ebhausen;72224;Baden-Württemberg;48.6049769273,8.67630261424
Bad Liebenzell;75378;Baden-Württemberg;48.7729251552,8.73448401917
Eisingen;75239;Baden-Württemberg;48.9444590973,8.6763132049
Herford;32049;Nordrhein-Westfalen;52.1356048334,8.70801148978
Birkenau;69488;Hessen;49.5653544696,8.72364820999
Marburg;35037;Hessen;50.8027557981,8.75164042494
Marburg;35039;Hessen;50.8107728719,8.78116752554
Niddatal;61194;Hessen;50.2826258488,8.83527954026
Schwaförden;27252;Niedersachsen;52.7397733837,8.83994791739
Zaisenhausen;75059;Baden-Württemberg;49.1077838896,8.811390774
Wiesenbach;69257;Baden-Württemberg;49.3630209542,8.82574244259
Reichelsheim (Wetterau);61203;Hessen;50.3536247436,8.86085992986
Schöneck;61137;Hessen;50.2069320414,8.84353608904
Bremen;28213;Bremen;53.0973065476,8.84181674668
Tönning;25832;Schleswig-Holstein;54.3078172572,8.88853898028
Königsheim;78598;Baden-Württemberg;48.0981979856,8.8644327346
Illingen;75428;Baden-Württemberg;48.9773990332,8.90839274241
Sachsenheim;74343;Baden-Württemberg;49.000130061,9.00353627985
Vaihingen an der Enz;71665;Baden-Württemberg;48.9473118766,8.96560221273
Schwaigern;74193;Baden-Württemberg;49.1385096754,9.03000429312
Grasberg;28879;Niedersachsen;53.1809354858,9.01056789477
Dörentrup;32694;Nordrhein-Westfalen;52.0338323172,9.03246066476
Rottenburg am Neckar;72108;Baden-Württemberg;48.5194305857,8.9877290425
Rinteln;31737;Niedersachsen;52.175427524,9.11154274
Büdingen;63654;Hessen;50.2915838159,9.1087518242
Zeven, Elsdorf;27404;Niedersachsen;53.2869156244,9.28855222927
Reichenau;78479;Baden-Württemberg;47.6946626513,9.11537316424
Viöl;25884;Schleswig-Holstein;54.5833323613,9.16572105513
Herdwangen-Schönach;88634;Baden-Württemberg;47.8681141257,9.1902296135
Antrifttal;36326;Hessen;50.7947856804,9.19034217698
Stuttgart;70192;Baden-Württemberg;48.7960774076,9.16334003852
Nordsehl;31717;Niedersachsen;52.3595896003,9.1783090682
Marienmünster;37696;Nordrhein-Westfalen;51.8234798549,9.23232455536
Stuttgart;70174;Baden-Württemberg;48.7828904725,9.17025256942
Stuttgart;70599;Baden-Württemberg;48.7122830072,9.20438816804
Billigheim;74842;Baden-Württemberg;49.3446123846,9.24788641565
Stuttgart;70376;Baden-Württemberg;48.8161332679,9.20335356451
Pleidelsheim;74385;Baden-Württemberg;48.9589159924,9.21131536314
Fritzlar;34560;Hessen;51.1433481542,9.26132034271
Sailauf;63877;Bayern;50.0369684145,9.26606167827
Fellbach;70734;Baden-Württemberg;48.8002397546,9.28426497266
Mengen;88512;Baden-Württemberg;48.0450374536,9.32417359023
Wabern;34590;Hessen;51.093781068,9.35604791676
Lauterbach;36341;Hessen;50.6439908068,9.37613742717
Dammbach;63874;Bayern;49.8649682601,9.34342119883
Meersburg;88709;Baden-Württemberg;47.6790127062,9.32001127577
Immenstaad am Bodensee;88090;Baden-Württemberg;47.674047324,9.36408929063
Gomadingen;72532;Baden-Württemberg;48.3874877074,9.40045049614
Obersulm;74182;Baden-Württemberg;49.1319526928,9.38753048563
Altbach;73776;Baden-Württemberg;48.7260228414,9.38026922797
Kassel;34132;Hessen;51.2851297405,9.41534175018
Münsingen;72525;Baden-Württemberg;48.4043695702,9.52415445439
Berlin Wartenberg;13059;Berlin;52.5808595567,13.5216896688
Berlin Falkenberg;13057;Berlin;52.5716426616,13.5417322499
Putbus;18581;Mecklenburg-Vorpommern;54.3230530406,13.5341535961
Plessa, Schraden;04928;Brandenburg;51.4626050015,13.6382175196
Berlin Köpenick;12559;Berlin;52.4156274361,13.6619191222
Dresden;01097;Sachsen;51.0668156027,13.7412926873
Dresden;01326;Sachsen;51.0260863011,13.8575635148
Karlshagen;17449;Mecklenburg-Vorpommern;54.1750590866,13.8115497962
Strausberg;15344;Brandenburg;52.5666744401,13.9004408885
Straupitz;15913;Brandenburg;51.9911223614,14.0938513637
Kolkwitz;03099;Brandenburg;51.7542294795,14.1990791004
Vogelsang-Warsin, Meiersberg, Mönkebude u.a.;17375;Mecklenburg-Vorpommern;53.6711282363,14.2218640525
Vogelsang-Warsin, Meiersberg, Mönkebude u.a.;17375;Mecklenburg-Vorpommern;53.7060619251,14.2581687213
Cottbus;03055;Brandenburg;51.813523737,14.3090505005
Barnstorf, Eydelstedt, Drentwede;49406;Niedersachsen;52.70213107,8.54466290273
Eschbronn;78664;Baden-Württemberg;48.1914019366,8.45069744977
Biedenkopf;35216;Hessen;50.921694169,8.53280732535
Bünde;32257;Nordrhein-Westfalen;52.2067588595,8.56532636333
Mannheim;68239;Baden-Württemberg;49.4587445792,8.55557755317
Bielefeld;33689;Nordrhein-Westfalen;51.9439254475,8.58856808164
Lahnau;35633;Hessen;50.5900925576,8.56608519139
Deißlingen;78652;Baden-Württemberg;48.1097942919,8.59992135658
Bensheim;64625;Hessen;49.6930301571,8.62373301808
Hiddenhausen;32120;Nordrhein-Westfalen;52.1557747773,8.63567099355
Trossingen;78647;Baden-Württemberg;48.0745612471,8.63966296198
Gondelsheim;75053;Baden-Württemberg;49.0565228003,8.6443942982
Friedberg (Hessen);61169;Hessen;50.3271891083,8.75033338466
Frankfurt am Main;60323;Hessen;50.1246784822,8.66377057311
Östringen;76684;Baden-Württemberg;49.1898413202,8.75224429658
Bad Nauheim;61231;Hessen;50.375459247,8.74903050851
Gosheim;78559;Baden-Württemberg;48.1360856102,8.76292852765
Fernwald;35463;Hessen;50.5622912937,8.77769387256
Worpswede;27726;Niedersachsen;53.251366356,8.94639347254
Sternenfels;75447;Baden-Württemberg;49.034688273,8.86259879291
Gärtringen;71116;Baden-Württemberg;48.6399989751,8.89794719089
Volkertshausen;78269;Baden-Württemberg;47.823181047,8.86787299249
Renquishausen;78603;Baden-Württemberg;48.0847646478,8.89198383095
Bordelum;25852;Schleswig-Holstein;54.6444768839,8.92120555361
Horn-Bad Meinberg;32805;Nordrhein-Westfalen;51.8702606896,8.96913819769
Brombachtal;64753;Hessen;49.7333758551,8.9456281396
Leibertingen, Buchheim;88637;Baden-Württemberg;48.0300864565,9.02139608574
Stockach;78333;Baden-Württemberg;47.8928616129,8.94489581414
Tübingen;72070;Baden-Württemberg;48.5219756335,9.00606127462
Pennigsehl;31621;Niedersachsen;52.6356120643,9.01691811582
Tübingen;72072;Baden-Württemberg;48.4914278153,9.04364029862
Gemünden (Felda);35329;Hessen;50.6866749912,9.08904521616
Burladingen;72393;Baden-Württemberg;48.3143098102,9.11848794434
Tübingen;72074;Baden-Württemberg;48.5603594148,9.08275899642
Hasselroth;63594;Hessen;50.164278066,9.10460385386
Luhden;31711;Niedersachsen;52.2276938692,9.0871901883
Marklohe;31608;Niedersachsen;52.662267084,9.13703116164
Haßmersheim;74855;Baden-Württemberg;49.3021238009,9.11948662961
Limbach;74838;Baden-Württemberg;49.4689471814,9.19608394962
Walddorfhäslach;72141;Baden-Württemberg;48.5822877426,9.12097739918
Stuttgart;70199;Baden-Württemberg;48.757585772,9.14625278502
Elsenfeld;63820;Bayern;49.8337634266,9.2014278399
Husum;31632;Niedersachsen;52.5718612076,9.25645760859
Flein;74223;Baden-Württemberg;49.0996314094,9.22626274329
Überlingen;88662;Baden-Württemberg;47.8198543222,9.22563387135
