plz_name;Spalte1;lan_name;geo_point_2d
Herzogenrath;52134;Nordrhein-Westfalen;50.8638900847,6.09832161494
Niederkrüchten;41372;Nordrhein-Westfalen;51.2048375784,6.15424337541
Langerwehe;52379;Nordrhein-Westfalen;50.7987741433,6.3643683641
Schönecken;54614;Rheinland-Pfalz;50.1510017758,6.44878094816
Dahlem;53949;Nordrhein-Westfalen;50.3959654257,6.51099135402
Welschbillig, Igel, Aach;54298;Rheinland-Pfalz;49.7222970687,6.5447844616
Lissendorf;54587;Rheinland-Pfalz;50.3161009377,6.60334508396
Irsch;54451;Rheinland-Pfalz;49.5965860929,6.61865138847
Neuss;41462;Nordrhein-Westfalen;51.2168404383,6.66294434401
Trier;54295;Rheinland-Pfalz;49.7470394006,6.65590795934
Neuss;41468;Nordrhein-Westfalen;51.1684439301,6.76167339693
Düsseldorf;40489;Nordrhein-Westfalen;51.3213726247,6.7654215504
Dinslaken;46539;Nordrhein-Westfalen;51.5751636711,6.79771814139
Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und Müsch;53533;Rheinland-Pfalz;50.4075857554,6.81257130218
Düsseldorf;40472;Nordrhein-Westfalen;51.2698493805,6.82283074911
Reifferscheid, Kaltenborn, Wershofen u.a.;53520;Rheinland-Pfalz;50.3392249203,6.82315366626
Saarbrücken;66127;Saarland;49.2261134546,6.87185580274
Reinsfeld;54421;Rheinland-Pfalz;49.6784674269,6.88298113941
Gillenfeld;54558;Rheinland-Pfalz;50.1196226588,6.92127165484
Velen;46342;Nordrhein-Westfalen;51.8972272746,6.95376356663
Köln;50676;Nordrhein-Westfalen;50.9312757365,6.95244062602
Köln;50733;Nordrhein-Westfalen;50.9643442031,6.95377323471
Ettringen;56729;Rheinland-Pfalz;50.3286948986,7.09768127486
Essen;45127;Nordrhein-Westfalen;51.4573941023,7.01059603228
Bernkastel-Kues u.a.;54470;Rheinland-Pfalz;49.9242044612,7.05773284539
Alflen;56828;Rheinland-Pfalz;50.181225818,7.04263276988
Nordhorn;48529;Niedersachsen;52.3958423067,7.08385946381
Bonn;53119;Nordrhein-Westfalen;50.7456069198,7.06231237129
Essen;45259;Nordrhein-Westfalen;51.4055758524,7.06225685786
Jagsthausen;74249;Baden-Württemberg;49.3099458869,9.46649199574
Oberteuringen;88094;Baden-Württemberg;47.7339269626,9.47069307462
Lenningen;73252;Baden-Württemberg;48.5459299832,9.50156141467
Leutenbach;71397;Baden-Württemberg;48.8950936939,9.45224875375
Wennigsen (Deister);30974;Niedersachsen;52.2608399575,9.57777854725
Schwarmstedt u.a.;29690;Niedersachsen;52.6828560156,9.63127720004
Kollmar, Pagensand;25377;Schleswig-Holstein;53.6901927575,9.51635283121
Dollern;21739;Niedersachsen;53.5381902293,9.53830502941
Boffzen, Derental;37691;Niedersachsen;51.7331523488,9.5069829897
Königheim;97953;Baden-Württemberg;49.5960534606,9.56461991225
Ehingen (Donau), Lauterach;89584;Baden-Württemberg;48.2818251209,9.65899275366
Eriskirch;88097;Baden-Württemberg;47.6380199985,9.53739075351
Werbach;97956;Baden-Württemberg;49.6885492301,9.66019409682
Zell unter Aichelberg;73119;Baden-Württemberg;48.6479984339,9.57507347047
Holenberg;37642;Niedersachsen;51.912196631,9.58458086591
Aulendorf;88326;Baden-Württemberg;47.9420724988,9.6489065124
Wangen;73117;Baden-Württemberg;48.7340596392,9.60331369416
Helsa;34298;Hessen;51.2461008147,9.6842786168
Eime;31036;Niedersachsen;52.0644307924,9.70024517657
Nachrodt-Wiblingwerde;58769;Nordrhein-Westfalen;51.3123376407,7.6175624081
Eschbach;79427;Baden-Württemberg;47.8949269679,7.63616385915
Fürstenau;49584;Niedersachsen;52.5058062286,7.68273219705
Ihringen;79241;Baden-Württemberg;48.0543548906,7.65792524439
Iserlohn;58640;Nordrhein-Westfalen;51.4296612035,7.67457669095
Seibersbach;55444;Rheinland-Pfalz;49.9415835627,7.73588673679
Unna;59423;Nordrhein-Westfalen;51.5303574159,7.69343479727
Guldental;55452;Rheinland-Pfalz;49.8998293697,7.80760841545
Sankt Goarshausen u.a.;56346;Rheinland-Pfalz;50.1489183939,7.73854371707
Herbolzheim;79336;Baden-Württemberg;48.2177967875,7.81435615914
Kettenkamp, Eggermühlen, Ankum;49577;Niedersachsen;52.5527875606,7.8508573077
Hamm;59073;Nordrhein-Westfalen;51.7147026845,7.83607907654
Limburg;65551;Hessen;50.3792208295,8.12581097427
Baden-Baden;76534;Baden-Württemberg;48.7177647557,8.24382776681
Grünstadt;67269;Rheinland-Pfalz;49.5662256499,8.16122264413
Obrigheim (Pfalz);67283;Rheinland-Pfalz;49.5867231966,8.19672280179
Rödersheim-Gronau;67127;Rheinland-Pfalz;49.4323391332,8.25906617956
Heßheim;67258;Rheinland-Pfalz;49.5428499055,8.29775354755
Sinn;35764;Hessen;50.6436694462,8.32510998316
Steinhagen;33803;Nordrhein-Westfalen;51.9995528308,8.38073696695
Goldenstedt;49424;Niedersachsen;52.7707311334,8.40183161339
Nastätten u.a.;56355;Rheinland-Pfalz;50.1789061899,7.86913618257
Sembach;67681;Rheinland-Pfalz;49.5205913453,7.85986228736
Emmerzhausen, Niederdreisbach, Steinebach;57520;Rheinland-Pfalz;50.7070924152,7.97196718134
Neuhemsbach;67680;Rheinland-Pfalz;49.5228989818,7.9151177085
Schuttertal;77978;Baden-Württemberg;48.2471138892,7.96758602362
Kirchheimbolanden;67292;Rheinland-Pfalz;49.664920084,7.97719350547
Bischheim u.a.;67294;Rheinland-Pfalz;49.685756542,8.04627622371
Edenkoben;67480;Rheinland-Pfalz;49.3052579231,7.98387904248
Wiefelstede;26215;Niedersachsen;53.2541581676,8.10558301288
Lünen;44536;Nordrhein-Westfalen;51.6022214941,7.46590571748
Dortmund;44339;Nordrhein-Westfalen;51.5660053861,7.46686116887
Dellfeld;66503;Rheinland-Pfalz;49.2364529783,7.47868403226
Horhausen (Westerwald);56593;Rheinland-Pfalz;50.5922271873,7.51510472521
Lauterecken u.a.;67742;Rheinland-Pfalz;49.6478511693,7.56319719525
Emmelshausen;56281;Rheinland-Pfalz;50.1533795849,7.58260727314
Nortmoor;26845;Niedersachsen;53.2427200912,7.56247732051
Neuenburg am Rhein;79395;Baden-Württemberg;47.8310908476,7.57027275762
Steinfurt;48565;Nordrhein-Westfalen;52.1447811596,7.36936122105
Großheide;26532;Niedersachsen;53.5780827328,7.37845743002
Hornbach;66500;Rheinland-Pfalz;49.1856172736,7.36446453567
Leutesdorf;56599;Rheinland-Pfalz;50.4672698081,7.38621784652
Saffig;56648;Rheinland-Pfalz;50.3771381515,7.42018023737
Irmenach;56843;Rheinland-Pfalz;50.0048145619,7.1270044336
Freisen;66629;Saarland;49.5368965617,7.24002505809
Rhede (Ems);26899;Niedersachsen;53.0668841303,7.25400947377
Ediger-Eller;56814;Rheinland-Pfalz;50.1005430597,7.24154058645
Erfurt;99085;Thüringen;50.9955858096,11.0565911702
Dömitz;19303;Mecklenburg-Vorpommern;53.1965152652,11.2223456212
Kottgeisering;82288;Bayern;48.1224248548,11.1277672276
Ebermannstadt;91320;Bayern;49.7815861406,11.1951334053
Nürnberg;90471;Bayern;49.4016127861,11.115379189
Wittenförden u.a.;19073;Mecklenburg-Vorpommern;53.5847856365,11.2738938334
Spatzenhausen;82447;Bayern;47.721768697,11.2002280592
Eberfing;82390;Bayern;47.7873631983,11.2219250316
Seeland;06466;Sachsen-Anhalt;51.8168196765,11.2867994612
Wonsees;96197;Bayern;49.987523097,11.3127228045
Waischenfeld;91344;Bayern;49.8459959391,11.3285206524
Schnaittach;91220;Bayern;49.5810599544,11.3451543542
Weimar;99425;Thüringen;50.967213215,11.3482106025
Bergkirchen;85232;Bayern;48.2555135113,11.3599694374
Kinding;85125;Bayern;49.0020308914,11.3824323044
Mainleus;95336;Bayern;50.1055188331,11.3543044978
Kochel a. See;82431;Bayern;47.6565944704,11.3788640293
Puchheim;82178;Bayern;48.1627895749,11.3464075434
Reichenschwand;91244;Bayern;49.5192570478,11.374210973
Kirchenlamitz;95158;Bayern;50.1525890961,11.9505850633
Köthen;06366;Sachsen-Anhalt;51.7464062613,11.9735450125
Droyßig, Wetterzeube;06722;Sachsen-Anhalt;51.0126060261,12.028634178
Halle/ Saale;06114;Sachsen-Anhalt;51.4989325982,11.9672036453
Buch a. Buchrain;85656;Bayern;48.2166780722,12.0003324823
Steinhöring;85643;Bayern;48.0988543451,12.0430484676
Meyenburg, Kümmernitztal u.a.;16945;Brandenburg;53.2904370397,12.2035376396
Hohenleuben;07958;Thüringen;50.709123196,12.0526815944
Etzenricht;92694;Bayern;49.6230756326,12.0948387113
Nabburg;92507;Bayern;49.454323609,12.1778065032
Leuchtenberg;92705;Bayern;49.5884148332,12.264015594
Altendorf;92540;Bayern;49.4189807181,12.2875361788
Laberweinting;84082;Bayern;48.7814393362,12.3152915668
Leipzig;04207;Sachsen;51.3059028717,12.2746794673
Lalendorf, Langhagen;18279;Mecklenburg-Vorpommern;53.7539158689,12.3945293389
Kröning;84178;Bayern;48.5347420394,12.367285573
Oberbergkirchen;84564;Bayern;48.3135776299,12.380958738
Teunz;92552;Bayern;49.5003181025,12.3895287449
Pleystein;92714;Bayern;49.648817641,12.4212671645
Leipzig;04279;Sachsen;51.2913984654,12.3978948305
Chiemsee;83256;Bayern;47.8839128671,12.4694038606
Aham;84168;Bayern;48.525983109,12.465211739
Dingolfing;84130;Bayern;48.621047963,12.4796394011
Rötz;92444;Bayern;49.3524542833,12.5308709374
Eilenburg u.a.;04838;Sachsen;51.4877431237,12.6216887173
Ahrenshagen-Daskow, Trinwillershagen u.a.;18320;Mecklenburg-Vorpommern;54.2429419281,12.6185840599
Röbel/Müritz;17207;Mecklenburg-Vorpommern;53.3741111727,12.6235377466
Machern;04827;Sachsen;51.3638523131,12.6123899946
Stadlern;92549;Bayern;49.5030916939,12.6250124371
Willmering;93497;Bayern;49.2505510115,12.6826872406
Torgau, Dreiheide;04860;Sachsen;51.5576395979,12.9491894103
Tann;84367;Bayern;48.320156774,12.898735249
Crottendorf;09474;Sachsen;50.5030838596,12.9298879961
Johanniskirchen;84381;Bayern;48.5441491832,12.9619923926
Patersdorf;94265;Bayern;49.0031989121,12.9680842527
Potsdam;14476;Brandenburg;52.4065532193,12.9620960574
Wittibreut;84384;Bayern;48.3419766433,13.0110123105
Annaberg-Buchholz, Mildenau;09456;Sachsen;50.5776277985,13.0548676722
Kößlarn;94149;Bayern;48.3696950999,13.1245637262
Ruhstorf a.d. Rott;94099;Bayern;48.4656425339,13.3171981671
Schlieben;04936;Brandenburg;51.7398412755,13.4146344416
Berlin Charlottenburg;10589;Berlin;52.5275482475,13.3057410002
Berlin Charlottenburg;10587;Berlin;52.5184684883,13.3195091811
Berlin Steglitz;12163;Berlin;52.4626399789,13.3184916381
Berlin Moabit;10551;Berlin;52.5307647533,13.3370848199
Neuburg a. Inn;94127;Bayern;48.5169775413,13.4027458479
Berlin Mariendorf;12107;Berlin;52.4310741777,13.3917889897
Berlin Kreuzberg;10965;Berlin;52.4854598686,13.3944058581
Berlin Gesundbrunnen;13357;Berlin;52.5502408283,13.3828835699
Perlesreut;94157;Bayern;48.7771794288,13.4411066369
Schorfheide;16244;Brandenburg;52.9097263493,13.5939090534
Berlin Friedrichshain;10243;Berlin;52.5122753781,13.4394081064
Berlin Neukölln;12043;Berlin;52.4798933908,13.4371032558
Gütersloh;33335;Nordrhein-Westfalen;51.9224898137,8.45826088234
Bielefeld;33619;Nordrhein-Westfalen;52.0419026453,8.47027951355
Villingen-Schwenningen;78052;Baden-Württemberg;48.067661794,8.43400434426
Schwanewede;28790;Niedersachsen;53.2498291383,8.58645026062
Bielefeld;33615;Nordrhein-Westfalen;52.032893697,8.50896877951
Wagenfeld;49419;Niedersachsen;52.5456019704,8.62439165588
Griesheim;64347;Hessen;49.8597725991,8.56051307372
Wetzlar;35582;Hessen;50.5625455507,8.59526498921
Bremerhaven;27576;Bremen;53.5594234752,8.60480500507
Heppenheim (Bergstraße);64646;Hessen;49.6452992489,8.66141651235
Bad Teinach-Zavelstein;75385;Baden-Württemberg;48.6972027076,8.66618980778
Bretten;75015;Baden-Württemberg;49.0438699903,8.70288964816
Frankfurt am Main;60325;Hessen;50.1156239494,8.65873090487
Darmstadt;64289;Hessen;49.8984530798,8.68000802699
Diemelsee;34519;Hessen;51.3478359674,8.78198241058
Neulingen;75245;Baden-Württemberg;48.9683422412,8.71115773933
Lichtenfels;35104;Hessen;51.1700319844,8.79120498265
Rockenberg;35519;Hessen;50.4225862166,8.74682238855
Paderborn;33102;Nordrhein-Westfalen;51.7335237343,8.7468161241
Frankfurt am Main;60388;Hessen;50.157377827,8.76327158978
Haigerloch;72401;Baden-Württemberg;48.3642574044,8.79876023561
Bremen;28217;Bremen;53.0948644932,8.7745450115
Neckargemünd;69151;Baden-Württemberg;49.389887676,8.8262217755
Mötzingen;71159;Baden-Württemberg;48.5367229615,8.78117551971
Friolzheim;71292;Baden-Württemberg;48.8351234734,8.82515294757
Nordstrand, Elisabeth-Sophien-Koog, Südfall;25845;Schleswig-Holstein;54.5499195092,8.81116970306
Hirschhorn, Brombach, Heddesbach;69434;Hessen;49.4695994996,8.87615546596
Rabenau;35466;Hessen;50.6680221519,8.89041141252
Bremen;28207;Bremen;53.0655381783,8.86606886715
Raddestorf;31604;Niedersachsen;52.450665101,8.94795922401
Hildrizhausen;71157;Baden-Württemberg;48.6179015016,8.96231673923
Eberbach;69412;Hessen;49.470505293,9.00344772441
Erbach;64711;Hessen;49.6365337381,9.00969392978
Albstadt;72461;Baden-Württemberg;48.2646662234,9.01849944449
Limeshain;63694;Hessen;50.2640177075,8.9910395217
Blomberg;32825;Nordrhein-Westfalen;51.952936133,9.05796325802
Bückeburg;31675;Niedersachsen;52.2919900885,9.04008315247
Willebadessen;34439;Nordrhein-Westfalen;51.6046212255,9.09393344152
Stetten am kalten Markt;72510;Baden-Württemberg;48.1294405768,9.0727149625
Ronneburg;63549;Hessen;50.2243971059,9.04747365734
Langwedel;27299;Niedersachsen;52.9996752261,9.1828443051
Sigmaringen;72488;Baden-Württemberg;48.0931193246,9.18917141469
Owingen;88696;Baden-Württemberg;47.8264237408,9.17493785724
Reutlingen;72770;Baden-Württemberg;48.460178498,9.15521237826
Asperg;71679;Baden-Württemberg;48.9060403521,9.14280502
Stuttgart;70437;Baden-Württemberg;48.8391183469,9.1937469448
Stuttgart;70186;Baden-Württemberg;48.7735746629,9.21104731791
Schöllkrippen, Blankenbach;63825;Bayern;50.0966418158,9.26470475467
Heilbronn;74072;Baden-Württemberg;49.1394908532,9.2161225234
Stuttgart;70378;Baden-Württemberg;48.8429455822,9.22348371275
Schrecksbach;34637;Hessen;50.8366433447,9.28594813651
Lautertal;36369;Hessen;50.5910845848,9.28267385844
Höxter;37671;Nordrhein-Westfalen;51.7865654164,9.34465111065
Esslingen am Neckar;73734;Baden-Württemberg;48.7232472181,9.31075486534
Heigenbrücken;63869;Bayern;50.0360803251,9.35164537979
Neuffen;72639;Baden-Württemberg;48.5531652432,9.3689489516
Hammah;21714;Niedersachsen;53.6249599233,9.37316225371
Harsefeld;21698;Niedersachsen;53.4514680845,9.46411736537
Hafenlohr, Rothenbuch;97840;Bayern;49.9016712234,9.5414850722
Eichenzell;36124;Hessen;50.4708642529,9.71935566942
Dörzbach;74677;Baden-Württemberg;49.373994314,9.71726964959
Hemmingen;30966;Niedersachsen;52.2976322852,9.72794428245
Nordstemmen;31171;Niedersachsen;52.166188105,9.79362792756
Ulsnis;24897;Schleswig-Holstein;54.5729360241,9.75497904558
Sarstedt;31157;Niedersachsen;52.2402704252,9.85493007481
Buchholz in der Nordheide;21244;Niedersachsen;53.2894823652,9.78266135965
Borstel-Hohenraden;25494;Schleswig-Holstein;53.7023975081,9.82271779485
Hergatz;88145;Bayern;47.6435674344,9.8488148907
Kißlegg;88353;Baden-Württemberg;47.7877128211,9.8812519446
Meißner;37290;Hessen;51.2022907318,9.915287955
Giebelstadt;97232;Bayern;49.6486282802,9.9361230329
Oberreute;88179;Bayern;47.5526028979,9.94238506118
Westerstetten;89198;Baden-Württemberg;48.514685101,9.94939387463
Bordesholm;24582;Schleswig-Holstein;54.1737528145,10.0459297166
Steinheim am Albuch;89555;Baden-Württemberg;48.6848125445,10.0385625322
Eibelstadt;97246;Bayern;49.7243435894,10.012076262
Hamburg;20095;Hamburg;53.5513852679,10.000344243
Dietenheim;89165;Baden-Württemberg;48.2237869668,10.0512768492
Bockenem;31167;Niedersachsen;52.0073881033,10.1202156238
Gerstungen;99834;Thüringen;50.9746191323,10.1226442862
Hamburg;22305;Hamburg;53.5886684495,10.0502357375
Hamburg;22175;Hamburg;53.6259954739,10.0991023766
Uffenheim;97215;Bayern;49.5374669203,10.206241057
Kiel;24116;Schleswig-Holstein;54.3274933124,10.1113839511
Hamburg;22115;Hamburg;53.5300448818,10.1490630312
Hamburg;22143;Hamburg;53.6062365592,10.1698557085
Hamburg;22145;Hamburg;53.6170173296,10.2111311973
Hamburg;22145;Schleswig-Holstein;53.6170173296,10.2111311973
Stimpfach;74597;Baden-Württemberg;49.1016456651,10.167231026
Bröckel;29356;Niedersachsen;52.5158848275,10.2195913513
Creuzburg;99831;Thüringen;51.0602179831,10.2411425074
Schönkirchen;24232;Schleswig-Holstein;54.3186788283,10.2689705456
Hermaringen;89568;Baden-Württemberg;48.5975535678,10.2654457675
Vögelsen;21360;Niedersachsen;53.2824425547,10.3395133212
Deutsch Evern;21407;Niedersachsen;53.1913583657,10.4419341119
Gifhorn;38518;Niedersachsen;52.504545271,10.5245736378
Braunschweig;38120;Niedersachsen;52.2480198885,10.4671639827
Drei Gleichen;99869;Thüringen;50.9601893828,10.7242662605
Schwerin;19055;Mecklenburg-Vorpommern;53.6577808007,11.4344908717
Scheyern;85298;Bayern;48.5013004216,11.4333289913
Sengenthal;92369;Bayern;49.223096935,11.4480720534
Steinwiesen;96349;Bayern;50.3248311829,11.4605689001
München;81243;Bayern;48.1453096359,11.4368177187
Karlsfeld;85757;Bayern;48.2296200275,11.4627172529
Klostermansfeld, Benndorf;06308;Sachsen-Anhalt;51.5786910149,11.4896378137
Alfeld;91236;Bayern;49.4309712589,11.5315487122
Großmehring;85098;Bayern;48.7804664804,11.5433772889
München;81477;Bayern;48.0830613882,11.5076711813
Paunzhausen;85307;Bayern;48.474686673,11.5634418023
Magdeburg;39110;Sachsen-Anhalt;52.1256593149,11.5689649559
Barleben;39179;Sachsen-Anhalt;52.2034915221,11.5924126185
München;80804;Bayern;48.1723938508,11.5771535584
Reichersbeuern;83677;Bayern;47.7611209022,11.6245127373
Wittenberge, Rühstädt;19322;Brandenburg;53.0138188872,11.7526310367
Painten;93351;Bayern;48.9955581558,11.8355170511
Parsdorf/Hergolding;85599;Bayern;48.1378785508,11.7999919633
Sparneck;95234;Bayern;50.1533558916,11.8491641775
Hörgertshausen;85413;Bayern;48.5573145278,11.8706760137
Legde/Quitzöbel, Bad Wilsnack;19336;Brandenburg;52.9524236177,11.9492613605
Münchenbernsdorf, Schwarzbach, Bocka;07589;Thüringen;50.8291961166,11.9387671446
Bleicherode;99752;Thüringen;51.4577857273,10.5909725365
Wolfenbüttel;38300;Niedersachsen;52.1543307666,10.5690276502
Oettingen i. Bay.;86732;Bayern;48.9568309401,10.5789975222
Mönchsdeggingen;86751;Bayern;48.7646948808,10.5957064402
Themar;98660;Thüringen;50.4939595743,10.630128016
Lüder;29394;Niedersachsen;52.804305564,10.6570254699
Ettringen;86833;Bayern;48.125918916,10.6595914975
Ebelsbach;97500;Bayern;49.9976730697,10.6901933039
Luisenthal, Ohrdruf, Wolfis;99885;Thüringen;50.7979112838,10.740830312
Amberg;86854;Bayern;48.070566097,10.6889156722
Weyhausen;38554;Niedersachsen;52.463198397,10.7178599506
Timmendorfer Strand;23669;Schleswig-Holstein;53.9829379246,10.7770607359
Mertingen;86690;Bayern;48.6515075211,10.7918167797
Jerxheim;38381;Niedersachsen;52.0769054787,10.8975826327
Bamberg;96047;Bayern;49.8910347769,10.8899597615
Rohr;91189;Bayern;49.3419868435,10.9278943239
Pleinfeld;91785;Bayern;49.115189889,10.9852445345
Augsburg;86150;Bayern;48.3644991693,10.8927864834
Hallerndorf;91352;Bayern;49.7523428839,10.9763400633
Pappenheim;91788;Bayern;48.9397083656,11.0036423762
Garmisch-Partenkirchen (Schneefernerhaus);82475;Bayern;47.4098525474,10.9891754684
Grube;23749;Schleswig-Holstein;54.2428562908,11.0437994746
Hollenbach;86568;Bayern;48.486685101,11.0610050277
Kellenhusen;23746;Schleswig-Holstein;54.1957961098,11.0528963333
Hagenow u.a.;19230;Mecklenburg-Vorpommern;53.4128770734,11.231975775
Wriezen;16269;Brandenburg;52.7078080009,14.1201227101
Briesen, Rauen u.a.;15518;Brandenburg;52.3249140793,14.0269599865
Bad Schandau;01814;Sachsen;50.9023468913,14.1944337379
Neutrebbin, Neuhardenberg;15320;Brandenburg;52.6319124237,14.2358093579
Blankensee, Grambow u.a.;17322;Mecklenburg-Vorpommern;53.3855406879,14.3263599029
Guben, Schenkendöbern;03172;Brandenburg;51.9589026404,14.5703832431
Berlin Niederschöneweide;12439;Berlin;52.4525984557,13.5258567332
Lauchhammer;01979;Brandenburg;51.5034300819,13.7537893777
Usedom u.a.;17406;Mecklenburg-Vorpommern;53.8996018695,13.9379540689
Goch;47574;Nordrhein-Westfalen;51.6954346369,6.12369054365
Baesweiler;52499;Nordrhein-Westfalen;50.9179633642,6.18527617476
Bleialf;54608;Rheinland-Pfalz;50.2370856422,6.30452023499
Wachtendonk;47669;Nordrhein-Westfalen;51.3994770115,6.32629849258
Viersen;41747;Nordrhein-Westfalen;51.2468871731,6.41776012173
Ralingen;54310;Rheinland-Pfalz;49.8141869183,6.51728602285
Kall;53925;Nordrhein-Westfalen;50.516428529,6.55267370183
Walsdorf, Nohn u.a.;54578;Rheinland-Pfalz;50.3075915925,6.70912385889
Duisburg;47179;Nordrhein-Westfalen;51.5256100818,6.73693787594
Neuss;41470;Nordrhein-Westfalen;51.1351486988,6.7366153327
Euskirchen;53881;Nordrhein-Westfalen;50.6348255232,6.81830113033
Völklingen;66333;Saarland;49.2203961946,6.80256854397
Duisburg;47166;Nordrhein-Westfalen;51.4922674522,6.75447604234
Düsseldorf;40547;Nordrhein-Westfalen;51.2445592059,6.74124791637
Uelsen, Halle, Gölenkamp, Getelo;49843;Niedersachsen;52.4877728551,6.88437919366
Düsseldorf;40237;Nordrhein-Westfalen;51.2370489921,6.81063762557
Düsseldorf;40593;Nordrhein-Westfalen;51.1426265494,6.871972707
Bornheim;53332;Nordrhein-Westfalen;50.7682278545,6.95507401611
Essen;45356;Nordrhein-Westfalen;51.4913521693,6.97131018072
Ettringen;56729;Rheinland-Pfalz;50.3286948986,7.09768127486
Leverkusen;51379;Nordrhein-Westfalen;51.0702850308,7.00103346393
Leichlingen;42799;Nordrhein-Westfalen;51.111956194,7.05851261086
Quierschied;66287;Saarland;49.3220458026,7.02877233503
Essen;45130;Nordrhein-Westfalen;51.4377243459,7.00977408303
Essen;45128;Nordrhein-Westfalen;51.4459272376,7.01260672342
Köln;51069;Nordrhein-Westfalen;50.9910630685,7.05850692211
Bochum;44866;Nordrhein-Westfalen;51.4858312644,7.14100141565
Namborn;66640;Saarland;49.5181729329,7.1646427425
Bergisch Gladbach;51429;Nordrhein-Westfalen;50.9713637107,7.19336499328
Wehr;56653;Rheinland-Pfalz;50.422409334,7.2420602897
Herne;44625;Nordrhein-Westfalen;51.5277412676,7.21408728647
Bochum;44789;Nordrhein-Westfalen;51.4690022614,7.22110862261
Dörpen, Lehe, u.a.;26892;Niedersachsen;52.9667037434,7.34106602199
Castrop-Rauxel;44579;Nordrhein-Westfalen;51.5758909596,7.28904193216
Schlier;88281;Baden-Württemberg;47.7941948515,9.69597036366
Eschenbach;73107;Baden-Württemberg;48.6388355421,9.66302480939
Brodersby, Goltoft;24864;Schleswig-Holstein;54.5377445964,9.70555017084
Steinfeld;24888;Schleswig-Holstein;54.6042060435,9.72649374149
Emkendorf;24802;Schleswig-Holstein;54.2435892044,9.81741278696
Winsen (Aller);29308;Niedersachsen;52.7003491778,9.87908511048
Geislingen an der Steige;73312;Baden-Württemberg;48.6112796565,9.83632831511
Oberleichtersbach;97789;Bayern;50.2764282646,9.80316619757
Dipperz;36160;Hessen;50.5339100251,9.8137083957
Schondra;97795;Bayern;50.2483615758,9.85392407864
Hemdingen;25485;Schleswig-Holstein;53.7737551621,9.84928258662
Halstenbek;25469;Schleswig-Holstein;53.6246158859,9.83843359862
Holzdorf;24364;Schleswig-Holstein;54.5576371672,9.90501822658
Kaltenkirchen;24568;Schleswig-Holstein;53.841744414,9.95584794621
Würzburg;97080;Bayern;49.8160473527,9.91514705023
Geisa;36419;Thüringen;50.7044518838,9.9724342324
Bühlertann;74424;Baden-Württemberg;49.0326071713,9.93013635028
Hohenroda;36284;Hessen;50.8125077778,9.92476550406
Würzburg;97070;Bayern;49.7945094495,9.9350892094
Weidenstetten;89197;Baden-Württemberg;48.5586628664,9.98071039285
Bad Salzdetfurth;31162;Niedersachsen;52.0723589076,10.0244188507
Rosenberg;73494;Baden-Württemberg;49.0102523387,10.0300430894
Oberelsbach;97656;Bayern;50.4383503556,10.0776375397
Seevetal;21220;Niedersachsen;53.3586360617,10.0471685489
Flintbek;24220;Schleswig-Holstein;54.2355347246,10.0831411445
Salzhausen;21376;Niedersachsen;53.2165710631,10.1413414638
Dettingen an der Iller;88451;Baden-Württemberg;48.107798004,10.1084121225
Uetze;31311;Niedersachsen;52.4605993385,10.1699571802
Celle;29221;Niedersachsen;52.616888943,10.08238445
Hamburg;22119;Hamburg;53.556504865,10.1080551899
Altenstadt;89281;Bayern;48.1680503523,10.130407359
Legau;87764;Bayern;47.8560932437,10.1427004275
Herbrechtingen;89542;Baden-Württemberg;48.5662855261,10.1545828918
Rainau;73492;Baden-Württemberg;48.9206756564,10.1508649317
Rickling;24635;Schleswig-Holstein;54.0057053823,10.1956999393
Kirchbarkau;24245;Schleswig-Holstein;54.214753848,10.1581142623
Trappenkamp;24610;Schleswig-Holstein;54.046980028,10.181429904
Pleß;87773;Bayern;48.1024764484,10.1663113704
Benningen;87734;Bayern;47.9663543407,10.2173143029
Winterrieden;87785;Bayern;48.1198738712,10.2158773868
Dinkelsbühl;91550;Bayern;49.0752657737,10.3103761122
Mellrichstadt;97638;Bayern;50.4375385375,10.3172553827
Feuchtwangen;91555;Bayern;49.175296641,10.3213499729
Grettstadt;97508;Bayern;49.9896269121,10.3400081606
Eldingen;29351;Niedersachsen;52.6715463942,10.3445090482
Liebenburg;38704;Niedersachsen;52.0035458981,10.4093399341
Ziertheim;89446;Bayern;48.6613726547,10.3985541689
Kuddewörde;22958;Schleswig-Holstein;53.5800853786,10.4076484467
Bienenbüttel;29553;Niedersachsen;53.1393934627,10.4839729761
Bad Langensalza;99947;Thüringen;51.120094827,10.617453156
Grönwohld;22956;Schleswig-Holstein;53.6473213403,10.4120237314
Waltershausen;99880;Thüringen;50.9133377069,10.5366246899
Dillingen a.d. Donau;89407;Bayern;48.5748640743,10.5312747604
Salgen;87775;Bayern;48.1260523671,10.485117107
Ribbesbüttel;38551;Niedersachsen;52.4307428716,10.4971433978
Suhl, Marisfeld, Rohr u.a.;98530;Thüringen;50.5749360972,10.5687523465
Suhl, Marisfeld, Rohr u.a.;98530;Thüringen;50.5749360972,10.5687523465
Hohenahr;35644;Hessen;50.6692442358,8.49203593305
Bielefeld;33647;Nordrhein-Westfalen;51.9780011447,8.50514138876
Bielefeld;33739;Nordrhein-Westfalen;52.0849761602,8.51817327974
Dornhan;72175;Baden-Württemberg;48.357153661,8.53004801817
